release_speed,release_spin_rate,pfx_x,pfx_z,release_pos_x,release_pos_z,plate_x,plate_z,release_extension,p_throws
94.6,2443.0,0.36,1.6,2.21,6.58,1.1498995716979654,2.038416293690628,7.0,0
85.3,2605.0,-0.15,0.1,0.9,6.11,-1.4166657137408358,1.607421315917411,5.8,0
80.8,2828.0,-0.61,-0.96,0.94,6.06,0.6280645672281258,1.6459643390793133,5.6,0
98.0,2456.0,-0.76,1.49,-2.31,6.0,0.587126568141259,2.7149358640464776,6.4,1
96.3,2381.0,-0.53,1.48,-2.31,5.8,-0.0301621777564217,1.9839078234340348,6.9,1
96.0,2456.0,0.56,1.51,2.1,6.61,0.0094453036527282,3.054108349615187,6.8,0
86.4,2245.0,0.6,0.07,-1.88,5.65,0.7277217064971879,1.5540401354988562,6.6,1
79.4,2300.0,-0.71,0.36,2.09,6.06,1.5666387622716056,5.005869368470673,6.2,0
97.8,2492.0,-0.87,1.45,-1.68,5.86,-0.042617489889305,4.602299448098672,6.3,1
91.5,2445.0,-0.04,1.77,1.58,6.13,0.1899178754786678,3.783285961438914,6.6,0
96.5,2560.0,-0.52,1.22,-2.3,5.15,-1.2046045421920848,2.088732346759582,7.3,1
98.1,2369.0,-0.74,1.21,-1.94,5.72,0.6104712598382628,2.6409302816784628,7.0,1
95.7,2445.0,0.42,1.46,1.99,6.61,-0.8396915950882796,1.3480971544372056,6.8,0
91.4,2696.0,0.44,0.21,-1.83,5.77,0.8698002119892757,0.2522172019435338,6.4,1
96.1,2293.0,-0.74,1.29,-2.16,5.91,-0.7561523663869015,2.514978292521349,6.3,1
93.0,2633.0,0.26,0.52,-2.31,5.75,0.9372475893125648,1.3976007747370165,6.5,1
96.8,2208.0,-0.67,1.4,-2.13,5.85,-0.7996614163136402,3.3383163784463674,6.2,1
98.9,2370.0,-0.61,1.35,-2.07,5.67,-0.8169942661713236,2.559954518402022,7.2,1
97.6,2316.0,-0.47,1.45,-2.14,6.06,-0.6593303159462683,4.799739417027755,7.0,1
95.9,2144.0,1.37,0.63,0.68,5.9,0.3972918266580133,1.8284251775946128,6.1,0
94.8,2395.0,-1.02,1.32,-1.88,5.58,-0.5519353617027023,3.721717570988929,7.2,1
88.7,2337.0,-1.04,1.05,-2.18,5.58,-1.462949729113001,2.4750322268874028,6.9,1
94.5,2467.0,0.54,1.63,2.28,6.58,1.1818974172894188,3.481968161658917,6.6,0
94.5,2002.0,-1.15,0.7,-1.93,5.52,1.5068309920459906,1.1311750916208103,6.8,1
96.1,2385.0,-0.46,1.41,-2.19,5.82,0.2272375956967389,2.1854199194896267,7.0,1
95.5,2488.0,0.4,1.3,2.18,6.77,0.220116907899918,2.80842626731143,6.9,0
84.6,1752.0,1.17,0.69,2.3,6.39,0.5299565432256714,2.640439373860475,7.0,0
98.0,2307.0,-0.66,1.34,-2.11,5.69,-0.1948780899246052,3.2998408058625195,6.9,1
96.3,2352.0,-0.32,1.58,-1.96,5.82,0.083043509740381,2.6055916483028763,7.0,1
80.1,2922.0,-0.66,-1.43,0.72,6.05,-0.5439623789624286,1.5481648891263244,6.0,0
98.3,2400.0,-0.52,1.38,-2.13,5.91,-0.4278168032919376,2.919790906521003,6.3,1
82.8,2433.0,-1.24,-1.07,2.04,6.52,0.0867582124922174,1.612219621259788,7.1,0
95.2,2029.0,1.47,0.7,0.53,6.07,-0.0098659734532582,1.812216478061465,5.8,0
87.3,2482.0,-0.56,0.61,1.14,6.32,-0.9602344526370182,2.759321319716017,6.2,0
98.0,2228.0,-0.5,1.52,-2.15,5.91,-0.7791264977554644,2.9456172973890045,7.2,1
87.1,2535.0,-0.44,0.67,1.35,6.15,-0.0882999029316694,2.2146298655065846,6.4,0
84.0,2189.0,0.42,0.11,-1.88,5.73,0.0399196528453141,0.8152297661721972,7.0,1
89.6,2378.0,0.55,0.16,-2.24,5.96,0.8989831707453674,1.988202345067247,6.2,1
81.0,3038.0,-0.64,-1.21,1.21,6.27,-0.4298286871046979,1.3376954893218578,5.9,0
83.7,2351.0,1.16,0.02,-2.13,6.1,-1.2360350984229256,2.687272229444435,6.8,1
80.3,2976.0,-0.76,-1.48,0.82,6.19,0.0361176396231287,1.573137694484184,5.9,0
96.8,2396.0,-0.72,1.51,-2.29,5.94,-0.598441748257222,2.671102740383952,6.3,1
85.6,2543.0,-0.08,0.17,0.96,5.97,-0.1418529554425146,2.195715112149163,6.0,0
81.9,2812.0,-0.51,-0.7,0.8,5.96,-0.1729394519212642,1.9578983003139443,5.9,0
97.5,2386.0,-0.83,1.37,-2.03,5.84,-0.3231805293623738,3.1541206784628724,7.2,1
89.8,1667.0,-1.12,0.95,-2.13,5.7,-1.191591560484032,1.6750790530687585,6.6,1
82.8,2227.0,0.95,0.67,-2.2,5.72,0.6699869741957756,1.4938938321331277,6.8,1
85.1,2462.0,0.61,-0.03,-2.16,5.96,0.5961792935389634,1.4357395220052904,7.0,1
